ticker,signal,direction,signal_date,entry_date,exit_date,planned_exit_date,actual_exit_date,entry_price,exit_price,position_size,entry_book_equity,shares,return,pnl,adjusted_score,confidence,regime,entry_cost,exit_cost,total_cost,impact_entry_cost,gross_return,net_return,holding_days,planned_holding_days,actual_holding_days,exit_reason
INTC,Bullish,1,2018-01-08,2018-01-09,2018-01-10,2018-01-12,2018-01-10,44.7,43.359,6518.14,99999.83,145.8196,-0.03,-195.56,0.9448,Medium,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030002,1,3,1,stop_loss
MOS,Bullish,1,2018-01-08,2018-01-09,2018-01-10,2018-01-12,2018-01-10,26.34,25.5498,10029.37,99999.72,380.7659,-0.03,-300.97,0.7648,Medium,Bull,0.09,0.0,0.09,0.09,-0.03,-0.030009,1,3,1,stop_loss
FCX,Bullish,1,2018-01-08,2018-01-09,2018-01-10,2018-01-12,2018-01-10,19.78,19.1866,7790.76,99999.64,393.8707,-0.03,-233.76,0.7051,Medium,Bull,0.03,0.0,0.03,0.03,-0.03,-0.030005,1,3,1,stop_loss
KR,Bullish,1,2018-01-08,2018-01-09,2018-01-10,2018-01-12,2018-01-10,28.0,27.16,9586.7,99999.52,342.3821,-0.03,-287.66,0.6462,Medium,Bull,0.06,0.0,0.06,0.06,-0.03,-0.030006,1,3,1,stop_loss
APA,Bullish,1,2018-01-08,2018-01-09,2018-01-10,2018-01-12,2018-01-10,45.66,44.2902,5307.42,99999.4,116.2379,-0.03,-159.25,0.5856,Medium,Bull,0.03,0.0,0.03,0.03,-0.03,-0.030006,1,3,1,stop_loss
D,Bullish,1,2018-01-08,2018-01-09,2018-01-12,2018-01-12,2018-01-12,78.05,75.7085,11999.95,99999.6,153.747,-0.03,-360.08,0.6522,High,Bull,0.08,0.0,0.08,0.08,-0.03,-0.030007,3,3,3,stop_loss
INVH,Bullish,1,2018-01-08,2018-01-09,2018-01-17,2018-01-12,2018-01-17,23.1,22.51,12000.0,100000.0,519.4805,-0.025541,-306.67,1.4427,High,Bull,0.17,0.0,0.17,0.17,-0.025541,-0.025556,8,3,8,expiry
EXC,Bullish,1,2018-01-08,2018-01-09,2018-01-17,2018-01-12,2018-01-17,27.4964,27.8816,11999.98,99999.81,436.4194,0.014008,168.0,0.8545,High,Bull,0.09,0.0,0.09,0.09,0.014008,0.014,8,3,8,expiry
NVDA,Bullish,1,2018-01-08,2018-01-09,2018-01-17,2018-01-12,2018-01-17,5.5555,5.618,4404.33,99999.6,792.788,0.01125,49.54,0.6628,Medium,Bull,0.01,0.0,0.01,0.01,0.01125,0.011249,8,3,8,expiry
TGT,Bullish,1,2018-01-08,2018-01-09,2018-01-17,2018-01-12,2018-01-17,69.52,76.82,11999.94,99999.46,172.6113,0.105006,1260.0,0.6276,Medium,Bull,0.06,0.0,0.06,0.06,0.105006,0.105001,8,3,8,expiry
MDLZ,Bullish,1,2018-01-08,2018-01-10,2018-01-24,2018-01-12,2018-01-24,42.76,44.59,11802.63,98355.25,276.0204,0.042797,505.05,-0.5852,High,Bull,0.07,0.0,0.07,0.07,0.042797,0.042791,14,2,14,expiry
WBD,Bullish,1,2018-01-08,2018-01-10,2018-01-24,2018-01-12,2018-01-24,21.53,26.01,11802.62,98355.18,548.1942,0.208082,2455.8,0.5782,Medium,Bull,0.11,0.0,0.11,0.11,0.208082,0.208072,14,2,14,expiry
KHC,Bullish,1,2018-01-08,2018-01-10,2018-01-24,2018-01-12,2018-01-24,78.65,79.86,11802.61,98355.08,150.065,0.015385,181.5,-0.5774,High,Bull,0.08,0.0,0.08,0.08,0.015385,0.015378,14,2,14,expiry
PEP,Bullish,1,2018-01-08,2018-01-10,2018-01-24,2018-01-12,2018-01-24,118.13,121.14,11802.6,98355.0,99.912,0.02548,300.67,0.5614,High,Bull,0.06,0.0,0.06,0.06,0.02548,0.025475,14,2,14,expiry
CAG,Bullish,1,2018-01-08,2018-01-12,2018-01-24,2018-01-12,2018-01-24,36.82,37.6,12005.61,100046.71,326.0621,0.021184,254.21,-0.5469,High,Bull,0.12,0.0,0.12,0.12,0.021184,0.021174,12,0,12,expiry
PFE,Bullish,1,2018-01-16,2018-01-17,2018-01-24,2018-01-22,2018-01-24,34.9336,35.038,12059.95,101296.22,345.225,0.002988,35.97,0.6321,High,Bull,0.06,0.0,0.06,0.06,0.002988,0.002983,7,5,7,expiry
META,Bullish,1,2018-01-16,2018-01-17,2018-01-24,2018-01-22,2018-01-24,179.26,186.55,8742.65,101296.24,48.7708,0.040667,355.52,0.637,Medium,Bull,0.02,0.0,0.02,0.01,0.040667,0.040665,7,5,7,expiry
