ticker,entry_date,exit_date,regime,pnl,return,position_size,entry_price,exit_price,crisis_day_num,holding_days
EQIX,2022-01-28,2022-02-02,Crisis,285.77,0.044488,6424.77,686.03,716.55,0,5
TER,2022-01-28,2022-02-02,Crisis,152.26,0.086376,1762.87,107.9,117.22,0,5
VZ,2022-01-28,2022-02-02,Crisis,321.29,0.045879,7003.71,51.44,53.8,0,5
SHW,2022-02-25,2022-03-02,Crisis,-13.78,-0.013485,1021.36,259.55,256.05,0,5
PGR,2022-02-25,2022-03-02,Crisis,7.83,0.00604,1298.09,102.64,103.26,0,5
TT,2022-02-25,2022-03-02,Crisis,9.17,0.01208,759.31,151.49,153.32,0,5
FISV,2022-02-25,2022-03-02,Crisis,12.2,0.015194,803.2,96.09,97.55,0,5
PFE,2022-02-25,2022-03-02,Crisis,8.5,0.006549,1298.09,45.81,46.11,0,5
DHR,2022-02-25,2022-03-02,Crisis,1.33,0.001663,802.22,239.9557,240.3546,0,5
CMCSA,2022-02-25,2022-03-02,Crisis,11.56,0.011907,971.13,43.2896,43.8051,0,5
AMT,2022-02-25,2022-02-28,Crisis,-11.51,-0.002374,4838.06,231.7,231.15,0,3
TGT,2022-02-25,2022-03-02,Crisis,140.2,0.159208,880.61,191.51,222.0,0,5
DHR,2022-03-15,2022-03-18,Crisis,94.56,0.087826,1076.67,238.1206,259.0337,0,3
APD,2022-03-15,2022-03-18,Crisis,67.04,0.052902,1267.34,220.03,231.67,0,3
ROK,2022-03-15,2022-03-18,Crisis,90.53,0.072392,1250.68,257.21,275.83,0,3
DPZ,2022-03-15,2022-03-18,Crisis,82.85,0.072892,1136.65,387.42,415.66,0,3
EBAY,2022-03-15,2022-03-18,Crisis,87.53,0.066844,1309.53,52.51,56.02,0,3
INTU,2022-03-15,2022-03-18,Crisis,71.56,0.121716,587.9,427.8,479.87,0,3
KMB,2022-03-15,2022-03-18,Crisis,17.33,0.008765,1978.77,119.8,120.85,0,3
SHW,2022-03-15,2022-03-18,Crisis,57.6,0.049222,1170.28,239.73,251.53,0,3
GILD,2022-03-15,2022-03-16,Crisis,-149.75,-0.02,7485.87,58.43,57.2614,0,1
NKE,2022-03-15,2022-03-18,Crisis,82.01,0.095127,862.16,119.84,131.24,0,3
UNP,2022-04-28,2022-05-02,Crisis,-78.81,-0.03,2626.68,236.79,229.6863,0,4
MMM,2022-04-28,2022-05-03,Crisis,32.12,0.023005,1396.55,121.0284,123.8127,0,5
NVDA,2022-04-28,2022-05-02,Crisis,-19.67,-0.03,655.52,18.967,18.398,0,4
CAT,2022-04-28,2022-05-03,Crisis,50.27,0.029841,1684.92,207.43,213.62,0,5
TTWO,2022-04-28,2022-04-29,Crisis,-0.05,-0.0,7163.76,123.19,123.19,0,1
BA,2022-04-28,2022-04-29,Crisis,-90.0,-0.020241,4445.83,156.61,153.44,0,1
SHW,2022-04-28,2022-04-29,Crisis,-82.9,-0.010495,7895.53,283.0,280.03,0,1
TTWO,2022-05-03,2022-05-06,Crisis,-8.95,-0.011649,767.62,121.04,119.63,0,3
MCD,2022-05-03,2022-05-06,Crisis,3.26,0.003234,1008.44,247.39,248.19,0,3
SBUX,2022-05-03,2022-05-06,Crisis,8.75,0.0173,505.67,75.72,77.03,0,3
VZ,2022-05-03,2022-05-06,Crisis,31.79,0.026083,1219.02,46.39,47.6,0,3
TSLA,2022-05-03,2022-05-05,Crisis,-21.05,-0.03,701.73,301.06,292.0282,0,2
NFLX,2022-05-03,2022-05-04,Crisis,-61.04,-0.02,3051.63,19.829,19.4324,0,1
NFLX,2022-05-13,2022-05-18,Crisis,11.53,0.053963,213.66,17.716,18.672,0,5
VZ,2022-05-13,2022-05-18,Crisis,9.52,0.014508,656.24,48.25,48.95,0,5
WBD,2022-05-13,2022-05-18,Crisis,14.34,0.049476,289.77,17.18,18.03,0,5
AMZN,2022-05-13,2022-05-18,Crisis,4.23,0.021734,194.86,109.069,111.4395,0,5
BA,2022-05-13,2022-05-16,Crisis,-45.02,-0.02,2251.03,124.98,122.4804,0,3
ICE,2022-05-13,2022-05-18,Crisis,5.92,0.013463,439.86,96.56,97.86,0,5
EXPE,2022-05-13,2022-05-16,Crisis,-50.79,-0.02,2539.28,131.59,128.9582,0,3
PLD,2022-05-13,2022-05-18,Crisis,2.18,0.005905,369.44,125.31,126.05,0,5
EXPE,2022-05-19,2022-05-24,Crisis,-17.67,-0.03536,499.57,121.04,116.76,0,5
PM,2022-05-19,2022-05-23,Crisis,-48.75,-0.02,2437.16,105.0,102.9,0,4
PLD,2022-05-19,2022-05-24,Crisis,7.41,0.012906,574.65,118.55,120.08,0,5
COST,2022-05-19,2022-05-20,Crisis,-53.03,-0.02,2651.05,430.37,421.7626,0,1
KO,2022-05-19,2022-05-20,Crisis,-98.93,-0.02,4945.85,60.96,59.7408,0,1
SMCI,2022-06-15,2022-06-16,Crisis,-49.07,-0.022246,2204.59,4.675,4.571,0,1
GE,2022-06-15,2022-06-16,Crisis,-113.93,-0.027987,4070.22,42.9632,41.7608,0,1
LRCX,2022-06-15,2022-06-16,Crisis,-45.05,-0.018254,2467.38,44.977,44.156,0,1
TGT,2022-06-15,2022-06-21,Crisis,-3.79,-0.006806,556.05,142.52,141.55,0,6
PFE,2022-06-22,2022-06-27,Crisis,215.43,0.080158,2687.66,48.03,51.88,0,5
SPGI,2022-06-22,2022-06-27,Crisis,124.94,0.071705,1742.53,317.69,340.47,0,5
TT,2022-06-22,2022-06-27,Crisis,117.64,0.074446,1580.35,122.37,131.48,0,5
RCL,2022-06-22,2022-06-23,Crisis,-51.86,-0.02,2592.62,36.31,35.5838,0,1
ICE,2022-06-22,2022-06-27,Crisis,129.33,0.066234,1952.75,92.55,98.68,0,5
SBUX,2022-10-04,2022-10-07,Crisis,32.58,0.016649,1957.15,87.09,88.54,0,3
LOW,2022-10-04,2022-10-07,Crisis,9.14,0.005331,1715.55,196.97,198.02,0,3
AMZN,2022-10-04,2022-10-07,Crisis,-17.63,-0.015765,1118.04,119.89,118.0,0,3
MCD,2022-10-04,2022-10-07,Crisis,-43.65,-0.011618,3755.29,236.71,233.96,0,3
PFE,2022-10-04,2022-10-06,Crisis,-113.47,-0.011074,10242.29,44.25,43.76,0,2
TSLA,2022-10-04,2022-10-05,Crisis,-113.96,-0.02,5697.89,250.52,245.5096,0,1
ROST,2022-10-20,2022-10-21,Crisis,-132.22,-0.02,6608.77,84.15,82.467,0,1
LMT,2022-10-20,2022-10-25,Crisis,313.96,0.046699,6723.69,439.62,460.15,0,5
